text,label
"COMES NOW the plaintiff and respectfully moves this Court for summary judgment pursuant to Rule 56 of the Federal Rules of Civil Procedure.",motion
"Defendant moves this Court to dismiss the complaint for failure to state a claim upon which relief can be granted under Rule 12(b)(6).",motion
"Plaintiff files this emergency motion for a temporary restraining order to prevent irreparable harm pending a full hearing on the merits.",motion
"The defendant hereby moves for a continuance of the trial date due to the unavailability of a key material witness.",motion
"Plaintiff moves this Court to compel production of documents withheld by defendant without proper privilege designation.",motion
"This motion in limine seeks to exclude expert testimony that does not satisfy the Daubert standard for scientific reliability.",motion
"Movant respectfully requests that this Court grant partial summary judgment on the issue of liability, leaving only damages for trial.",motion
"Defendant moves to strike the plaintiff's second amended complaint as untimely and prejudicial under Fed. R. Civ. P. 15.",motion
"The People move to suppress evidence obtained during a warrantless search of defendant's vehicle in violation of the Fourth Amendment.",motion
"Plaintiff's motion for a protective order seeks to limit the scope of depositions to relevant, non-privileged matters.",motion
"Defendant moves for judgment as a matter of law at the close of plaintiff's case under Federal Rule 50(a).",motion
"The intervenor moves to intervene as of right in this action pursuant to Federal Rule of Civil Procedure 24(a)(2).",motion
"Plaintiff's motion to reconsider requests that this Court revisit its prior order in light of newly discovered controlling authority.",motion
"Defendant moves for sanctions under Rule 11 on grounds that plaintiff's complaint is frivolous and filed for improper purposes.",motion
"This motion for change of venue argues that the Southern District is a more convenient forum given the location of witnesses and evidence.",motion
"This brief presents the argument that the lower court erred in its interpretation of the contract's material breach provision.",brief
"Appellant's opening brief argues that the trial court's exclusion of critical evidence constitutes reversible error under de novo review.",brief
"Appellee's brief in opposition demonstrates that the lower court's judgment should be affirmed in all respects.",brief
"This amicus curiae brief is submitted on behalf of civil liberties organizations urging reversal of the search-and-seizure ruling.",brief
"The reply brief addresses the appellee's mischaracterization of the controlling precedent in this Circuit.",brief
"Petitioner's brief argues that the statute as applied violates the Equal Protection Clause of the Fourteenth Amendment.",brief
"This brief in support of the motion for summary judgment establishes that no genuine dispute of material fact exists on any element.",brief
"The government's brief argues that respondent waived his constitutional challenge by failing to raise it before the district court.",brief
"Amicus brief submitted by the National Bar Association urging the Court to adopt a broader reading of the attorney-client privilege.",brief
"This opening brief presents four independent grounds for reversal of the administrative agency's final order.",brief
"Appellant's supplemental brief addresses the impact of the Supreme Court's recent decision on the issues presented in this appeal.",brief
